2012-04-05;To savings;Transfer;+ 50,000.00;Kézpénz -> Megtakarítás;To savings
2012-03-31;Kaja;Expense;- 0.00;Későbbi kiadások;Food
2012-03-14;Rövidnadrág;Expense;+ 3,400.00;Pénztárca;Clothing
2012-03-14;Tesco;Expense;+ 4,630.00;Pénztárca;Grocery
2012-03-14;Ebéd - Don Pepe;Expense;+ 565.00;Pénztárca;Lunch
2012-03-14;Ebéd - Don Pepe;Expense;+ 400.00;Erzsébet utalvány;Lunch
2012-03-14;To wallet;Transfer;+ 20,000.00;Kézpénz -> Pénztárca;To wallet
2012-03-14;Reggeli - Kisbolt;Expense;+ 250.00;Pénztárca;Breakfast
2012-03-13;Reggeli - Pékség;Expense;+ 185.00;Pénztárca;Breakfast
2012-03-13;To wallet;Transfer;+ 10,000.00;Kézpénz -> Pénztárca;To wallet
2012-03-13;Ebéd - Don Pepe;Expense;+ 100.00;Pénztárca;Lunch
2012-03-13;Ebéd - Don Pepe;Expense;+ 1,000.00;Erzsébet utalvány;Lunch
2012-03-13;Fornetti;Expense;+ 190.00;Pénztárca;Dinner
2012-03-13;Vacsora - McDonalds;Expense;+ 1,550.00;Pénztárca;Dinner
2012-03-13;Bérlet;Expense;+ 3,850.00;Pénztárca;Public Transport
2012-03-13;2 buszjegy;Expense;+ 640.00;Pénztárca;Public Transport
2012-03-13;Csoki;Expense;+ 455.00;Pénztárca;Grocery
2012-03-12;Vacsora - Kisbolt;Expense;+ 955.00;Pénztárca;Dinner
2012-03-12;Ebéd - Don Pepe;Expense;+ 1,100.00;Pénztárca;Lunch
2012-03-12;Neocitran;Expense;+ 1,960.00;Pénztárca;Pharmacy
2012-03-12;Reggeli - Kisbolt;Expense;+ 135.00;Pénztárca;Breakfast
2012-03-10;Névnapra mamáéktól;Income;+ 3,000.00;Pénztárca;Gift
2012-03-10;Vonatjegy haza;Expense;+ 1,680.00;Pénztárca;Public Transport
2012-03-10;2 kroasszant;Expense;+ 240.00;Pénztárca;Grocery
2012-03-09;Kisbolt;Expense;+ 850.00;Pénztárca;Grocery
2012-03-09;Reggeli - Pékség;Expense;+ 200.00;Pénztárca;Breakfast
2012-03-09;Ebéd - Don Pepe;Expense;+ 40.00;Pénztárca;Lunch
2012-03-09;Ebéd - Don Pepe;Expense;+ 1,000.00;Erzsébet utalvány;Lunch
2012-03-08;Kisbolt;Expense;+ 1,700.00;Pénztárca;Grocery
2012-03-08;Ebéd - Don Pepe;Expense;+ 500.00;Erzsébet utalvány;Lunch
2012-03-08;Ebéd - Don Pepe;Expense;+ 150.00;Pénztárca;Lunch
2012-03-08;Reggeli - Kisbolt;Expense;+ 280.00;Pénztárca;Breakfast
2012-03-07;Vodafone;Expense;+ 3,000.00;OTP;Phone
2012-03-07;Currency Conversion (Debit) From Hungarian Forint: To U.S. Dollar;Expense;+ 1,154.00;OTP;Buxfer
2012-03-07;Tisztítószerek;Expense;+ 1,685.00;Pénztárca;Shopping » Grooming
2012-03-07;Iwebs office;Expense;+ 840.00;Pénztárca;Iwebs Office
2012-03-07;Kaja;Expense;+ 8,960.00;Pénztárca;Food
2012-03-07;Lakbér;Expense;+ 55,000.00;Pénztárca;Rent
2012-03-07;Csavarhúzó készlet;Expense;+ 2,490.00;OTP;Home Improvement
2012-03-07;Anyáéknak;Expense;+ 20,000.00;Pénztárca;To Mums
2012-03-07;Közös költség;Expense;+ 16,000.00;Pénztárca;Community fee
2012-03-07;To OTP;Transfer;+ 15,000.00;Pénztárca -> OTP;To OTP
2012-03-06;Fizetés;Income;+ 5,000.00;Erzsébet utalvány;Sallary
2012-03-06;Fülhallgató;Expense;+ 11,000.00;Pénztárca;Electronics
2012-03-06;To wallet;Transfer;+ 113,000.00;Kézpénz -> Pénztárca;To wallet
2012-03-05;To savings;Transfer;+ 60,000.00;Kézpénz -> Megtakarítás;To savings
2012-03-05;Fizetés;Income;+ 193,000.00;Kézpénz;Sallary
2012-03-03;Házhozszállítás;Expense;+ 5,000.00;Pénztárca;Shipping
2012-03-03;Asztal elszállítás;Expense;+ 2,000.00;Pénztárca;Shipping
2012-03-03;IKEA egyéb;Expense;+ 8,500.00;Pénztárca;Furniture
2012-03-03;IKEA szék;Expense;+ 25,000.00;Pénztárca;Furniture
2012-03-03;IKEA asztal;Expense;+ 25,000.00;Pénztárca;Furniture
2012-03-03;From savings;Transfer;+ 100,000.00;Megtakarítás -> Pénztárca;From savings
2012-02-29;Balance;Expense;+ 17,730.00;Pénztárca;Balance
2012-02-29;Kaja;Expense;+ 9,885.00;Pénztárca;Food
2012-02-27;Villanyszámla;Expense;+ 4,700.00;Pénztárca;Electricity
2012-02-26;From savings;Transfer;+ 30,000.00;Megtakarítás -> Kézpénz;From savings
2012-02-26;Tesco;Expense;+ 4,330.00;Pénztárca;Grocery
2012-02-26;Füzet;Expense;+ 1,600.00;Pénztárca;University
2012-02-25;Zoli party;Expense;+ 1,500.00;Pénztárca;Party
2012-02-25;Pizza Zoliéknál;Expense;+ 1,800.00;Pénztárca;Dinner
2012-02-22;Internet;Expense;+ 6,120.00;Pénztárca;Internet
2012-02-21;Tesco;Expense;+ 845.00;Pénztárca;Grocery
2012-02-21;Gyolóstoll;Expense;+ 400.00;Pénztárca;University
2012-02-19;To wallet;Transfer;+ 60,000.00;Kézpénz -> Pénztárca;To wallet
2012-02-19;Tesco;Expense;+ 5,125.00;Pénztárca;Grocery
2012-02-19;Gyógyszertár;Expense;+ 1,185.00;Pénztárca;Pharmacy
2012-02-19;Kisbolt;Expense;+ 2,130.00;Pénztárca;Grocery
2012-02-19;Kaja;Expense;+ 4,820.00;Pénztárca;Food
2012-02-18;KFC - Vacsora;Expense;+ 1,700.00;Pénztárca;Dinner
2012-02-16;Ebéd - Gyros;Expense;+ 1,020.00;Pénztárca;Lunch
2012-02-16;Kisbolt;Expense;+ 190.00;Pénztárca;Grocery
2012-02-15;Fodrász;Expense;+ 2,000.00;Pénztárca;Hair
2012-02-14;Kisbolt;Expense;+ 395.00;Pénztárca;Grocery
2012-02-14;Kisbolt;Expense;+ 920.00;Pénztárca;Grocery
2012-02-14;Vacsora - McDonalds;Expense;+ 1,510.00;Pénztárca;Dinner
2012-02-13;Vacsora - KFC;Expense;+ 1,100.00;Pénztárca;Dinner
2012-02-13;BKV Bérlet;Expense;+ 3,850.00;Pénztárca;Public Transport
2012-02-12;Tusfürdő, spray;Expense;+ 1,390.00;Pénztárca;Personal Care
2012-02-12;Tesco;Expense;+ 4,950.00;Pénztárca;Grocery
2012-02-10;Kisbolt;Expense;+ 360.00;Pénztárca;Grocery
2012-02-10;To OTP;Transfer;+ 1,065.00;Pénztárca -> OTP;To OTP
2012-02-09;Reggeli - Pékség;Expense;+ 415.00;Pénztárca;Breakfast
2012-02-08;Reggeli - Pékség;Expense;+ 200.00;Pénztárca;Breakfast
2012-02-08;To wallet;Transfer;+ 30,000.00;Kézpénz -> Pénztárca;To wallet
2012-02-08;Ebéd - KFC;Expense;+ 1,130.00;Pénztárca;Lunch
2012-02-08;Közös költség;Expense;+ 14,500.00;Pénztárca;Community fee
2012-02-08;Díjbeszedő;Expense;+ 6,145.00;Pénztárca;Water fee
2012-02-07;Vacsora - Kisbolt;Expense;+ 1,385.00;Pénztárca;Dinner
2012-02-07;Reggeli - Pékség;Expense;+ 300.00;Pénztárca;Breakfast
2012-02-06;Reggeli - Pékség;Expense;+ 300.00;Pénztárca;Breakfast
2012-02-05;To savings;Transfer;+ 50,000.00;Kézpénz -> Megtakarítás;To savings
2012-02-05;Randi VIP;Expense;+ 1,000.00;OTP;Web & IT
2012-02-05;To savings;Transfer;+ 20,000.00;Kézpénz -> Megtakarítás;To savings
2012-02-05;Lakbér;Expense;+ 55,000.00;Pénztárca;Rent
2012-02-05;To wallet;Transfer;+ 50,000.00;Kézpénz -> Pénztárca;To wallet
2012-02-05;To wallet;Transfer;+ 10,000.00;Kézpénz -> Pénztárca;To wallet
2012-02-05;Kisbolt;Expense;+ 2,180.00;Pénztárca;Grocery
2012-02-05;Fizetés;Income;+ 205,000.00;Kézpénz;Sallary
2012-02-04;Vacsora - Pizza;Expense;+ 1,400.00;Pénztárca;Dinner
2012-02-02;Ebéd (Gerinek is..);Expense;+ 1,850.00;Pénztárca;Lunch
2012-02-02;Tesco;Expense;+ 2,605.00;Pénztárca;Grocery
2012-02-01;Reggeli - Pékség;Expense;+ 300.00;Pénztárca;Breakfast
2012-01-31;Balance;Expense;+ 9,835.00;Pénztárca;Balance
2012-01-31;Neocitran;Expense;+ 1,790.00;Pénztárca;Pharmacy
2012-01-31;Reggeli - Pékség;Expense;+ 495.00;Pénztárca;Breakfast
2012-01-30;Vacsora - Kisbolt;Expense;+ 250.00;Pénztárca;Dinner
2012-01-30;Ebéd - Star Kebab;Expense;+ 1,000.00;Pénztárca;Lunch
2012-01-30;Villanyszámla;Expense;+ 4,830.00;Pénztárca;Electricity
2012-01-29;Transfer From: Credit Card;Transfer;+ 4,160.00;OTP -> Paypal;To Paypal
2012-01-29;Tesco;Expense;+ 3,220.00;Pénztárca;Grocery
2012-01-29;Tusfürdő, fogkrém;Expense;+ 970.00;Pénztárca;Personal Care
2012-01-29;Payment To: Habostorta Kft.;Expense;+ 4,160.00;Paypal;Web & IT
2012-01-28;Vacsora - Avanti;Expense;+ 1,300.00;Pénztárca;Dinner
2012-01-28;Vacsora - Pizza;Expense;+ 1,400.00;Pénztárca;Dinner
2012-01-27;Gyógyszerek;Expense;+ 2,530.00;Pénztárca;Pharmacy
2012-01-26;Ebéd - Star Kebab;Expense;+ 1,100.00;Pénztárca;Lunch
2012-01-26;Reggeli - Pékség;Expense;+ 395.00;Pénztárca;Breakfast
2012-01-26;Vacsora - Pizza;Expense;+ 1,400.00;Pénztárca;Dinner
2012-01-25;Transfer From: Credit Card;Transfer;+ 1,413.00;OTP -> Paypal;To Paypal
2012-01-25;To Wallet;Transfer;+ 30,000.00;Kézpénz -> Pénztárca;To wallet
2012-01-25;To OTP;Transfer;+ 5,000.00;Pénztárca -> OTP;To OTP
2012-01-25;Ebéd - KFC;Expense;+ 1,100.00;Pénztárca;Lunch
2012-01-25;Kisbolt;Expense;+ 1,195.00;Pénztárca;Grocery
2012-01-25;Reggeli - Pékség;Expense;+ 200.00;Pénztárca;Breakfast
2012-01-25;Currency Conversion (Debit) From Hungarian Forint: To U.S. Dollar;Expense;+ 1,413.00;Paypal;Web & IT,Hungarian,Buxfer
2012-01-25;Internet;Expense;+ 6,475.00;Pénztárca;Internet
2012-01-25;Közöskötség;Expense;+ 13,000.00;Pénztárca;Community fee
2012-01-24;Reggeli - Pékség;Expense;+ 370.00;Pénztárca;Breakfast
2012-01-23;Netptun pótvizsga;Expense;+ 2,000.00;OTP;University
2012-01-23;From Savings;Transfer;+ 20,000.00;Megtakarítás -> Pénztárca;From savings
2012-01-23;Reggeli - Pékség;Expense;+ 295.00;Pénztárca;Breakfast
2012-01-23;Vacsora - Pizza;Expense;+ 1,400.00;Pénztárca;Dinner
2012-01-21;Fenivir;Expense;+ 1,140.00;Pénztárca;Pharmacy
2012-01-21;Tesco;Expense;+ 5,170.00;Pénztárca;Grocery
2012-01-21;Spray;Expense;+ 810.00;Pénztárca;Personal Care
2012-01-20;Eseti költségek;Expense;+ 204.00;OTP;Financial Services
2012-01-20;Vacsora - Pizza;Expense;+ 1,400.00;Pénztárca;Dinner
2012-01-20;Reggeli - Pékség;Expense;+ 220.00;Pénztárca;Breakfast
2012-01-19;Vacsora - Pizza;Expense;+ 1,500.00;Pénztárca;Dinner
2012-01-19;Ebéd - Star Kebab;Expense;+ 1,450.00;Pénztárca;Lunch
2012-01-19;Reggeli - Pékség;Expense;+ 200.00;Pénztárca;Breakfast
2012-01-18;Vacsora - Pizza;Expense;+ 1,400.00;Pénztárca;Dinner
2012-01-18;Iwebs Office - Szemeteszsák;Expense;+ 560.00;Pénztárca;Iwebs Office
2012-01-18;Tesco;Expense;+ 160.00;Pénztárca;Grocery
2012-01-18;Sapka;Expense;+ 1,800.00;Pénztárca;Clothing
2012-01-18;Ebéd - Don Pepe;Expense;+ 735.00;Pénztárca;Lunch
2012-01-18;Reggeli - Pékség;Expense;+ 200.00;Pénztárca;Breakfast
2012-01-17;Vacsora - Kisbolt;Expense;+ 345.00;Pénztárca;Dinner
2012-01-17;Ebéd - Avanti;Expense;+ 1,300.00;Pénztárca;Lunch
2012-01-17;Reggeli - Pékség;Expense;+ 360.00;Pénztárca;Breakfast
2012-01-16;Vacsora - KFC;Expense;+ 100.00;Pénztárca;Dinner
2012-01-16;To wallet;Transfer;+ 30,000.00;Kézpénz -> Pénztárca;To wallet
2012-01-16;Ebéd - Don Pepe;Expense;+ 820.00;Pénztárca;Lunch
2012-01-15;Kisbolt;Expense;+ 2,330.00;Pénztárca;Grocery
2012-01-14;Vacsora - Pizza;Expense;+ 1,000.00;Pénztárca;Dinner
2012-01-13;Vodafone;Expense;+ 3,000.00;OTP;Phone
2012-01-13;Vacsora - Pizza;Expense;+ 1,500.00;Pénztárca;Dinner
2012-01-13;Reggeli - Pékség;Expense;+ 200.00;Pénztárca;Breakfast
2012-01-12;Tesco;Expense;+ 1,265.00;Pénztárca;Grocery
2012-01-12;Borotva szett;Expense;+ 3,015.00;Pénztárca;Personal Care
2012-01-12;Sik;Expense;+ 1,605.00;Pénztárca;Personal Care
2012-01-12;Pároló;Expense;+ 4,990.00;Pénztárca;Electronics
2012-01-12;To wallet;Transfer;+ 20,000.00;Kézpénz -> Pénztárca;To wallet
2012-01-12;Iwebs office (cukor, tej);Expense;+ 345.00;Pénztárca;Iwebs Office
2012-01-12;Ebéd - Don Pepe;Expense;+ 1,200.00;Pénztárca;Lunch
2012-01-12;Reggeli - Pékség;Expense;+ 200.00;Pénztárca;Breakfast
2012-01-11;Ebéd - KFC;Expense;+ 1,300.00;Pénztárca;Lunch
2012-01-11;Matekjegyzet nyomtatás;Expense;+ 870.00;Pénztárca;University
2012-01-11;Reggeli - Pékség;Expense;+ 200.00;Pénztárca;Breakfast
2012-01-10;Vacsora - Kisbolt;Expense;+ 405.00;Pénztárca;Dinner
2012-01-10;Zolinak nasiért;Expense;+ 500.00;Pénztárca;Grocery
2012-01-09;Ebéd - Don Pepe;Expense;+ 1,120.00;Pénztárca;Lunch
2012-01-09;Tesco;Expense;+ 4,345.00;Pénztárca;Grocery
2012-01-09;Rheumon gél;Expense;+ 1,050.00;Pénztárca;Pharmacy
2012-01-08;Vacsora - Pizza;Expense;+ 1,500.00;Pénztárca;Dinner
2012-01-08;Ebéd - Avanti;Expense;+ 1,300.00;Pénztárca;Lunch
2012-01-08;To wallet;Transfer;+ 10,000.00;Kézpénz -> Pénztárca;To wallet
2012-01-08;Ruhatár;Expense;+ 200.00;Pénztárca;Party
2012-01-08;Koktél;Expense;+ 2,000.00;Pénztárca;Party
2012-01-07;Beugró;Expense;+ 1,500.00;Pénztárca;Party
2012-01-07;Whiskey;Expense;+ 1,000.00;Pénztárca;Party
2012-01-07;Taxi;Expense;+ 2,800.00;Pénztárca;Taxi
2012-01-07;To wallet;Transfer;+ 5,000.00;Kézpénz -> Pénztárca;To wallet
2012-01-07;Vacsora - Pizza;Expense;+ 1,400.00;Pénztárca;Dinner
2012-01-07;Lakbér;Expense;+ 55,000.00;Kézpénz;Rent
2012-01-06;Vacsora - Avanti;Expense;+ 1,300.00;Pénztárca;Dinner
2012-01-06;Vacsora - Kisbolt;Expense;+ 525.00;Pénztárca;Dinner
2012-01-06;Kávé suliban;Expense;+ 70.00;Pénztárca;Cafe
2012-01-06;Ebéd - Don Pepe;Expense;+ 680.00;Pénztárca;Lunch
2012-01-06;Reggeli - Metrós pékség;Expense;+ 660.00;Pénztárca;Breakfast
2012-01-05;Vacsora - Avanti;Expense;+ 1,300.00;Pénztárca;Dinner
2012-01-05;Reggeli - Pékség;Expense;+ 405.00;Pénztárca;Breakfast
2012-01-05;To wallet;Transfer;+ 20,000.00;Kézpénz -> Pénztárca;To wallet
2012-01-05;BKV Bérlet;Expense;+ 3,850.00;Pénztárca;Public Transport
2012-01-05;Kifizetetlen szabadság;Income;+ 27,600.00;Kézpénz;Unpaid Holiday
2012-01-05;Fizetés;Income;+ 192,400.00;Kézpénz;Sallary
2012-01-05;To savings;Transfer;+ 50,000.00;Kézpénz -> Megtakarítás;To savings
2012-01-04;Vacsora - Pizza;Expense;+ 1,350.00;Pénztárca;Dinner
2012-01-04;Vacsora - Kínai;Expense;+ 680.00;Pénztárca;Dinner,Chinese food
2012-01-04;Ebéd - Don Pepe;Expense;+ 1,220.00;Pénztárca;Lunch
2012-01-04;Reggeli - Pékség;Expense;+ 395.00;Pénztárca;Breakfast
2012-01-03;Vacsora - Pizza;Expense;+ 1,600.00;Pénztárca;Dinner
2012-01-03;Ebéd - Avanti;Expense;+ 1,500.00;Pénztárca;Lunch
2012-01-03;Reggeli - Pékség;Expense;+ 200.00;Pénztárca;Breakfast
2012-01-02;From savings;Transfer;+ 10,000.00;Megtakarítás -> Pénztárca;From savings
2012-01-02;Transfer From: Credit Card;Transfer;+ 1,759.00;OTP -> Paypal;To Paypal
2012-01-02;Steam: Portal 2;Expense;+ 1,842.00;Paypal;Games,Hungarian
2012-01-02;To OTP;Transfer;+ 10,000.00;Pénztárca -> OTP;To OTP
2012-01-01;Ebéd - Avanti;Expense;+ 1,200.00;Pénztárca;Lunch
2012-01-01;Vacsora - Pizza;Expense;+ 1,400.00;Pénztárca;Dinner
2011-12-31;To wallet;Transfer;+ 10,000.00;Kézpénz -> Pénztárca;To wallet
2011-12-31;Zsebkendő;Expense;+ 100.00;Pénztárca;Personal Care
2011-12-31;Kisbolt;Expense;+ 1,135.00;Pénztárca;Grocery
2011-12-31;Szilveszterre rágcsa;Expense;+ 875.00;Pénztárca;Party
2011-12-30;To wallet;Transfer;+ 10,000.00;Kézpénz -> Pénztárca;To wallet
2011-12-30;Pezsgő;Expense;+ 750.00;Pénztárca;Party
2011-12-30;Papírtörlő;Expense;+ 260.00;Pénztárca;Shopping » Grooming
2011-12-30;Wc papír, Spray;Expense;+ 2,820.00;Pénztárca;Personal Care
2011-12-30;Tesco;Expense;+ 2,320.00;Pénztárca;Grocery
2011-12-30;Ebéd - Menü Étterem;Expense;+ 715.00;Pénztárca;Lunch
2011-12-30;Reggeli - Kisbolt;Expense;+ 270.00;Pénztárca;Breakfast
2011-12-30;Villanyszámla;Expense;+ 4,175.00;Pénztárca;Electricity
2011-12-29;Tesco;Expense;+ 560.00;Pénztárca;Grocery
2011-12-29;Ebéd - Don Pepe;Expense;+ 1,350.00;Pénztárca;Lunch
2011-12-29;Coldrex;Expense;+ 1,430.00;Pénztárca;Pharmacy
2011-12-28;Vacsora - Pizza;Expense;+ 1,400.00;Pénztárca;Dinner
2011-12-28;Reggeli - Kisbolt;Expense;+ 205.00;Pénztárca;Breakfast
2011-12-27;Vacsora - KFC;Expense;+ 1,100.00;Pénztárca;Dinner
2011-12-27;Marcipán;Expense;+ 735.00;Pénztárca;Grocery
2011-12-27;Adri Szamosi kávézó;Expense;+ 1,000.00;Pénztárca;Cafe
2011-12-27;Ebéd - Avanti;Expense;+ 1,400.00;Pénztárca;Lunch
2011-12-27;Reggeli - Kisbolt;Expense;+ 215.00;Pénztárca;Breakfast
2011-12-26;To savings;Transfer;+ 40,000.00;Kézpénz -> Megtakarítás;To savings
2011-12-26;Vonatjegy;Expense;+ 1,650.00;Pénztárca;Public Transport
2011-12-26;Taxi;Expense;+ 2,600.00;Pénztárca;Public Transport,Taxi
2011-12-23;Internet;Expense;+ 5,225.00;Pénztárca;Internet
2011-12-23;Vacsora - Pizza;Expense;+ 1,400.00;Pénztárca;Dinner
2011-12-23;Ebéd - KFC;Expense;+ 1,300.00;Pénztárca;Lunch
2011-12-23;Farmer;Expense;+ 6,990.00;Pénztárca;Clothing
2011-12-22;Prémium;Income;+ 35,000.00;Kézpénz;Premium
2011-12-22;Vacsora - Pizza;Expense;+ 1,300.00;Pénztárca;Dinner
2011-12-22;Lepedő, ágynemű;Expense;+ 6,180.00;Pénztárca;Home Improvement
2011-12-21;Karácsonyi ajándékok + csomagolás;Expense;+ 4,350.00;Pénztárca;Gifts
2011-12-21;Kesztyű;Expense;+ 2,400.00;Pénztárca;Clothing
2011-12-21;Sik;Expense;+ 1,580.00;Pénztárca;Personal Care
2011-12-21;Tesco;Expense;+ 650.00;Pénztárca;Grocery
2011-12-20;Reggeli - Pékség;Expense;+ 4,600.00;Kézpénz;Breakfast,Balance
2011-12-19;Payment For: Janos Szolnoki;Expense;+ 700.00;Paypal;Gifts
2011-12-18;Olajsütő;Expense;+ 6,490.00;Pénztárca;Gifts
2011-12-18;Arcradír;Expense;+ 980.00;Pénztárca;Personal Care
2011-12-18;Tesco;Expense;+ 4,840.00;Pénztárca;Grocery
2011-12-18;Vodafone;Expense;+ 3,000.00;Pénztárca;Phone
2011-12-18;Cipőápoló;Expense;+ 1,190.00;Pénztárca;Shopping » Grooming
2011-12-18;Pénztárca;Expense;+ 3,990.00;Pénztárca;Clothing
2011-12-17;BKV jegy;Expense;+ 1,280.00;Pénztárca;Public Transport
2011-12-16;Közös költség;Expense;+ 13,000.00;Pénztárca;Community fee
2011-12-16;Kisbolt;Expense;+ 270.00;Pénztárca;Grocery
2011-12-15;Ebéd - KFC;Expense;+ 1,100.00;Pénztárca;Lunch
2011-12-15;Kisbolt;Expense;+ 290.00;Pénztárca;Grocery
2011-12-15;BKV Bérlet;Expense;+ 1,850.00;Pénztárca;Public Transport
2011-12-14;Payment To: Habostorta Kft.;Expense;+ 1,140.00;Paypal;Web & IT
2011-12-14;Kisbolt;Expense;+ 545.00;Pénztárca;Grocery
2011-12-14;Ebéd - Avanti;Expense;+ 1,180.00;Pénztárca;Lunch
2011-12-12;Ebéd - Avanti;Expense;+ 1,180.00;Pénztárca;Lunch
2011-12-11;Tesco;Expense;+ 4,775.00;Pénztárca;Grocery
2011-12-11;Sik;Expense;+ 1,580.00;Pénztárca;Personal Care
2011-12-10;Ebéd - Avanti;Expense;+ 1,200.00;Pénztárca;Lunch
2011-12-09;Fodrász;Expense;+ 1,500.00;Pénztárca;Hair
2011-12-08;Sör;Expense;+ 305.00;Pénztárca;Grocery
2011-12-08;WC papír;Expense;+ 275.00;Pénztárca;Shopping » Grooming
2011-12-08;Ebéd - Avanti;Expense;+ 1,200.00;Pénztárca;Lunch
2011-12-08;Ebéd - KFC;Expense;+ 1,100.00;Pénztárca;Lunch
2011-12-07;Ebéd - Avanti;Expense;+ 1,300.00;Pénztárca;Lunch
2011-12-05;Balance;Expense;+ 12,298.00;Kézpénz;Balance
2011-12-05;To wallet;Transfer;+ 386,985.00;Kézpénz -> Pénztárca;To wallet
2011-12-05;Lakbér;Expense;+ 50,000.00;Pénztárca;Rent
2011-12-05;Ebéd - KFC;Expense;+ 1,100.00;Pénztárca;Lunch
